checkpoint_id,eval_task_id,k_value,accuracy,loss,num_adapt_steps,adapt_lr,num_examples_used
der_seq-cifar100_5,9,1,0.0,0.1862941837310791,5,0.01,10
der_seq-cifar100_5,9,2,0.0,0.17863642501831054,5,0.01,20
der_seq-cifar100_5,9,5,2.9000000000000004,0.1436249771118164,5,0.01,64
der_seq-cifar100_5,9,10,12.9,0.09740088105201722,5,0.01,128
der_seq-cifar100_6,0,0,71.8,0.08499953436851501,0,,0
der_seq-cifar100_6,0,1,75.4,0.05458033490180969,5,0.01,10
der_seq-cifar100_6,0,2,75.8,0.04984831273555756,5,0.01,20
der_seq-cifar100_6,0,5,77.8,0.029722626954317093,5,0.01,64
der_seq-cifar100_6,0,10,74.4,0.027989515036344528,5,0.01,128
der_seq-cifar100_6,1,0,52.6,0.09671064400672913,0,,0
der_seq-cifar100_6,1,1,61.3,0.06642399597167968,5,0.01,10
der_seq-cifar100_6,1,2,65.9,0.05695542025566101,5,0.01,20
der_seq-cifar100_6,1,5,73.1,0.03911896634101868,5,0.01,64
der_seq-cifar100_6,1,10,68.7,0.04405209654569626,5,0.01,128
der_seq-cifar100_6,2,0,58.099999999999994,0.08267747354507446,0,,0
der_seq-cifar100_6,2,1,68.7,0.049455487310886385,5,0.01,10
der_seq-cifar100_6,2,2,67.80000000000001,0.049661770522594455,5,0.01,20
der_seq-cifar100_6,2,5,73.4,0.03943645733594894,5,0.01,64
der_seq-cifar100_6,2,10,69.1,0.04347867429256439,5,0.01,128
der_seq-cifar100_6,3,0,51.800000000000004,0.09022088730335236,0,,0
der_seq-cifar100_6,3,1,64.3,0.06182562506198883,5,0.01,10
der_seq-cifar100_6,3,2,69.3,0.04534435045719147,5,0.01,20
der_seq-cifar100_6,3,5,71.5,0.039848399817943574,5,0.01,64
der_seq-cifar100_6,3,10,76.3,0.033257083378732205,5,0.01,128
der_seq-cifar100_6,4,0,56.99999999999999,0.08389091050624847,0,,0
der_seq-cifar100_6,4,1,70.5,0.04991309940814972,5,0.01,10
der_seq-cifar100_6,4,2,70.39999999999999,0.045571157097816464,5,0.01,20
der_seq-cifar100_6,4,5,78.5,0.03025386542081833,5,0.01,64
der_seq-cifar100_6,4,10,65.3,0.0629824977517128,5,0.01,128
der_seq-cifar100_6,5,0,59.4,0.07054304337501525,0,,0
der_seq-cifar100_6,5,1,63.0,0.0500723626613617,5,0.01,10
der_seq-cifar100_6,5,2,70.7,0.04070086598396301,5,0.01,20
der_seq-cifar100_6,5,5,78.5,0.03006870013475418,5,0.01,64
der_seq-cifar100_6,5,10,83.5,0.020384818822145462,5,0.01,128
der_seq-cifar100_6,6,0,85.3,0.01922279894351959,0,,0
der_seq-cifar100_6,6,1,85.5,0.017746787935495376,5,0.01,10
der_seq-cifar100_6,6,2,85.8,0.018052113205194474,5,0.01,20
der_seq-cifar100_6,6,5,87.7,0.014393574684858322,5,0.01,64
der_seq-cifar100_6,6,10,88.4,0.014248441249132156,5,0.01,128
der_seq-cifar100_6,7,0,0.0,0.25140166664123537,0,,0
der_seq-cifar100_6,7,1,0.5,0.19060406970977783,5,0.01,10
der_seq-cifar100_6,7,2,0.2,0.18053716707229614,5,0.01,20
der_seq-cifar100_6,7,5,1.6,0.14786997413635253,5,0.01,64
der_seq-cifar100_6,7,10,11.899999999999999,0.10754571557044983,5,0.01,128
der_seq-cifar100_6,8,0,0.0,0.2287261562347412,0,,0
der_seq-cifar100_6,8,1,0.4,0.18122072505950929,5,0.01,10
der_seq-cifar100_6,8,2,0.5,0.17558667945861817,5,0.01,20
der_seq-cifar100_6,8,5,1.7000000000000002,0.14150993871688844,5,0.01,64
der_seq-cifar100_6,8,10,9.0,0.10168997764587402,5,0.01,128
der_seq-cifar100_6,9,0,0.0,0.24567176723480225,0,,0
der_seq-cifar100_6,9,1,0.8,0.1867190980911255,5,0.01,10
der_seq-cifar100_6,9,2,0.1,0.18130417823791503,5,0.01,20
der_seq-cifar100_6,9,5,3.2,0.145756609916687,5,0.01,64
der_seq-cifar100_6,9,10,18.3,0.0977458667755127,5,0.01,128
der_seq-cifar100_7,0,0,72.89999999999999,0.09431388688087464,0,,0
der_seq-cifar100_7,0,1,76.8,0.056369234323501584,5,0.01,10
der_seq-cifar100_7,0,2,76.1,0.047535596013069156,5,0.01,20
der_seq-cifar100_7,0,5,80.80000000000001,0.031088752150535585,5,0.01,64
der_seq-cifar100_7,0,10,63.6,0.03911026406288147,5,0.01,128
der_seq-cifar100_7,1,0,52.5,0.10490329337120056,0,,0
der_seq-cifar100_7,1,1,59.4,0.07387578070163726,5,0.01,10
der_seq-cifar100_7,1,2,67.10000000000001,0.05725653064250946,5,0.01,20
der_seq-cifar100_7,1,5,72.7,0.03865005302429199,5,0.01,64
der_seq-cifar100_7,1,10,69.89999999999999,0.03941427022218704,5,0.01,128
der_seq-cifar100_7,2,0,57.3,0.0951097650527954,0,,0
der_seq-cifar100_7,2,1,63.6,0.06127324235439301,5,0.01,10
der_seq-cifar100_7,2,2,70.5,0.05026578092575073,5,0.01,20
der_seq-cifar100_7,2,5,71.89999999999999,0.04278490650653839,5,0.01,64
der_seq-cifar100_7,2,10,74.5,0.03481677281856537,5,0.01,128
der_seq-cifar100_7,3,0,49.1,0.09635835087299346,0,,0
der_seq-cifar100_7,3,1,65.4,0.05599379450082779,5,0.01,10
der_seq-cifar100_7,3,2,66.3,0.0518686894774437,5,0.01,20
der_seq-cifar100_7,3,5,73.1,0.03784057867527008,5,0.01,64
der_seq-cifar100_7,3,10,71.8,0.03844949907064438,5,0.01,128
der_seq-cifar100_7,4,0,52.7,0.09307138657569886,0,,0
der_seq-cifar100_7,4,1,68.0,0.05218849432468414,5,0.01,10
